question_id,display_id,priority,confidence,primary_confidence,classification_margin,runner_up,primary_knowledge,secondary_knowledge,ability_tags,difficulty,difficulty_basis,flags,stem_preview
exam_0da7232a75c2_q004,EXAM-0DA7232A75C2-Q004,medium,0.781,0.779,0.385,导数应用·零点问题·函数零点个数,函数综合·函数性质·奇偶性与周期性,,运算求解,3,model_estimated,unreviewed；confidence_below_0.8,### 4. 设 $f(x) = x - \sin x$ ，则 $f(x) =$ A. 既是奇函数又是减函数 B. 既是奇函数又是增函数 C. 是有零点的减函数 D. 是没有零点的奇函数
exam_0da7232a75c2_q005,EXAM-0DA7232A75C2-Q005,medium,0.798,0.799,0.312,函数综合·函数性质·奇偶性与周期性,导数与微分·求导运算·基本函数求导,,分类讨论,3,model_estimated,unreviewed；confidence_below_0.8,### 5. 设函数 $f'(x)$ 是奇函数 $f(x) (x \in \mathbf{R})$ 的导函数， $f(-1) = 0$ ，当 $x > 0$ 时， $xf'(x) - f(x) < 0$ ，则使得 $f(x) > 0$ 成立
exam_0da7232a75c2_q006,EXAM-0DA7232A75C2-Q006,high,0.691,0.672,0.111,导数应用·极值与最值·求极值,导数应用·极值与最值·求最值,,运算求解,3,model_estimated,unreviewed；confidence_below_0.8；primary_confidence_low；classification_margin_low,"### 6. 若 $a > 0, b > 0$ ，且函数 $f(x) = 4x^{3} - ax^{2} - 2bx + 2$ 在 $x = 1$ 处有极值，则 $ab$ 的最大值等于 A. 2 B. 3 C. 6 D. 9"
exam_0da7232a75c2_q007,EXAM-0DA7232A75C2-Q007,medium,0.708,0.692,0.222,导数应用·单调性·判断单调区间,导数应用·极值与最值·求最值,T7导数·U7.3 导数与函数单调性·导数符号判断,运算求解,3,model_estimated,unreviewed；confidence_below_0.8；primary_confidence_low,"### 7. 已知函数 $f(x) = ae^x - \ln x$ 在区间(1,2)上单调递增，则 $a$ 的最小值为 A. $e^2$ B. $e$ C. $e^{-1}$ D. $e^{-2}$"
exam_0da7232a75c2_q010,EXAM-0DA7232A75C2-Q010,high,0.761,0.755,1.0,导数与微分·导数定义·平均变化率与瞬时变化率,导数与微分·求导运算·基本函数求导,,逻辑推理,3,model_estimated,unreviewed；confidence_below_0.8；casework_ability_missing,"### 10. 已知函数 $f(x) = 2^x$ ， $g(x) = x^2 + ax$ （其中 $a \in R$ ）。对于不相等的实数 $x_1, x_2$ ，设 $m = \frac{f(x_1) - f(x_2)}{x_1 - x"
exam_0da7232a75c2_q011,EXAM-0DA7232A75C2-Q011,high,0.674,0.652,0.0,函数综合·函数性质·奇偶性与周期性,导数应用·极值与最值·求极值,,逻辑推理,3,model_estimated,unreviewed；confidence_below_0.8；primary_confidence_low；classification_margin_low；casework_ability_missing,### 11. 设函数 $f(x) = 2x^{3} - 3ax^{2} + 1$ ，则 A. 当 $a > 1$ 时， $f(x)$ 有三个零点 B. 当 $a < 0$ 时， $x = 0$ 是 $f(x)$ 的极大值点 C. 存在 $
exam_0da7232a75c2_q013,EXAM-0DA7232A75C2-Q013,high,0.691,0.672,0.111,导数应用·零点问题·函数零点个数,导数应用·极值与最值·求最值,,运算求解,3,model_estimated,unreviewed；confidence_below_0.8；primary_confidence_low；classification_margin_low,"### 13. 若函数 $f(x) = 2x^{3} - ax^{2} + 1 (a \in R)$ 在 $(0, +\infty)$ 内有且只有一个零点，则 $f(x)$ 在 $[-1, 1]$ 上的最大值与最小值的和为 \_\_\_\_"
exam_0da7232a75c2_q014,EXAM-0DA7232A75C2-Q014,medium,0.765,0.755,1.0,导数与微分·导数定义·平均变化率与瞬时变化率,导数与微分·求导运算·基本函数求导,,逻辑推理；分类讨论,3,model_estimated,unreviewed；confidence_below_0.8,### 14. 设函数 $f(x)=e^{x}(2x-1)-ax+a$ ，其中 a<1，若存在唯一的整数 $x_{0}$ ，使得 $f(x_{0})<0$ ，则 a 的取值范围是 \_\_\_\_.
exam_0da7232a75c2_q015,EXAM-0DA7232A75C2-Q015,high,0.701,0.672,0.111,导数与微分·切线方程·求切线,导数应用·极值与最值·求极值,,运算求解；逻辑推理；数形结合,3,model_estimated,unreviewed；confidence_below_0.8；primary_confidence_low；classification_margin_low；casework_ability_missing,"### 15. 设函数 $f(x)=[ax^{2}-(4a+1)x+4a+3]e^{x}$ . (1)若曲线 $y = f(x)$ 在点 $(1, f(1))$ 处的切线与 x 轴平行，求 a； (2)若 $f(x)$ 在 x=2 处取得极"
exam_0da7232a75c2_q016,EXAM-0DA7232A75C2-Q016,high,0.885,0.899,0.684,导数应用·单调性·判断单调区间,导数应用·极值与最值·求极值,T7导数·U7.3 导数与函数单调性·导数符号判断；T2函数·U2.1 函数概念与性质（单调/奇偶/周期）·构造函数,逻辑推理,3,model_estimated,unreviewed；casework_ability_missing,"### 16. 已知函数 $f(x) = \frac{1}{x} - x + a\ln x$ . (1)讨论 $f(x)$ 的单调性; (2)若 $f(x)$ 存在两个极值点 $x_{1}, x_{2}$ ，证明： $\frac{f(x_1"
exam_a9e115aa7ff5_q006,EXAM-A9E115AA7FF5-Q006,medium,0.796,0.792,0.778,函数综合·函数性质·奇偶性与周期性,导数应用·极值与最值·求极值,,逻辑推理；分类讨论,3,model_estimated,unreviewed；confidence_below_0.8,"### 6. 若函数 $f(x) = \frac{1}{2} x + \cos x$ 在 $x \in [0, a]$ 上存在唯一的极大值点，则实数 $a$ 的取值范围为（） A. $\left(\frac{\pi}{6}, \frac{1"
exam_a9e115aa7ff5_q008,EXAM-A9E115AA7FF5-Q008,medium,0.761,0.755,1.0,导数与微分·导数定义·平均变化率与瞬时变化率,导数与微分·求导运算·基本函数求导,,运算求解,3,model_estimated,unreviewed；confidence_below_0.8,"### 8. 已知 $a = \frac{\ln 4}{4}, b = \frac{1}{\mathrm{e}}, c = \frac{2}{3} \ln \frac{3}{2}$ ，则 $a, b, c$ 的大小关系为（） A. $a >"
exam_a9e115aa7ff5_q009,EXAM-A9E115AA7FF5-Q009,medium,0.726,0.713,0.2,导数应用·不等式证明·构造函数证明,导数应用·单调性·判断单调区间,,运算求解,3,model_estimated,unreviewed；confidence_below_0.8；primary_confidence_low,### 9. 已知函数 $f(x) = \mathrm{e}^{x} - \mathrm{e}^{-x} - 2\cos x$ ，则（） A. $f(0) = -2$ B. $f^{\prime}(x) = \mathrm{e}^{x} +
exam_a9e115aa7ff5_q010,EXAM-A9E115AA7FF5-Q010,medium,0.799,0.796,0.05,导数应用·极值与最值·求极值,导数与微分·切线方程·求切线,T7导数·U7.4 导数与极值/最值·利用导数求最值,运算求解；数形结合,3,model_estimated,unreviewed；confidence_below_0.8；classification_margin_low,"### 10. 已知 $a \in \mathbf{R}$ ，函数 $f(x) = ax^3 + 2x + 1$ 有两个极值点 $x_1, x_2$ ，则（） A. $a$ 是负数 B. $x_1 + x_2 \neq 0$ C. 函数 $"
