question_id,display_id,stem_markdown_preview,curriculum_theme_model,knowledge_unit_model,skill_tags_model,primary_knowledge_model,primary_confidence,runner_up_primary,classification_margin,tag_evidence,primary_knowledge_teacher,secondary_knowledge_model,difficulty_model,difficulty_teacher,difficulty_basis,ability_tags_model,teaching_tag_model,error_prone_points_model,review_status,review_notes
exam_0da7232a75c2_q001,EXAM-0DA7232A75C2-Q001,"### 1. 已知函数 $f(x) = (2x + 1)\mathrm{e}^x, f'(x)$ 为 $f(x)$ 的导函数，则 $f'(0)$ 的值为 A. ",T7导数,U7.2 导数运算（基本函数/复合/隐函数）,基本函数求导；复合函数求导；导数运算,导数与微分·求导运算·基本函数求导,0.923,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,求导；导数符号,,,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_0da7232a75c2_q002,EXAM-0DA7232A75C2-Q002,### 2. 函数 $y = f(x)$ 的导函数 $y = f'(x)$ 的图像如图所示，则函数 $y = f(x)$ 的图象可能是 ![](assets/3,T7导数,U7.2 导数运算（基本函数/复合/隐函数）,基本函数求导；复合函数求导；导数运算,导数与微分·求导运算·基本函数求导,0.923,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,求导；导数符号,,,3,,model_estimated,数形结合,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_0da7232a75c2_q003,EXAM-0DA7232A75C2-Q003,"### 3. 曲线 $y = 2\sin x + \cos x$ 在点 $(\pi, -1)$ 处的切线方程为 A. $x - y - \pi - 1 = 0$",T7导数,U7.1 导数概念与几何意义（切线）,导数几何意义；切线斜率；切线方程,导数与微分·切线方程·求切线,0.949,函数综合·函数性质·奇偶性与周期性,0.9,切线方程；切线,,,3,,model_estimated,运算求解；数形结合,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
exam_0da7232a75c2_q004,EXAM-0DA7232A75C2-Q004,### 4. 设 $f(x) = x - \sin x$ ，则 $f(x) =$ A. 既是奇函数又是减函数 B. 既是奇函数又是增函数 C. 是有零点的减函数,T2函数,U2.1 函数概念与性质（单调/奇偶/周期）,函数奇偶性；函数周期性；函数对称性,函数综合·函数性质·奇偶性与周期性,0.779,导数应用·零点问题·函数零点个数,0.385,函数奇偶性；三角函数性质,,,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_0da7232a75c2_q005,EXAM-0DA7232A75C2-Q005,### 5. 设函数 $f'(x)$ 是奇函数 $f(x) (x \in \mathbf{R})$ 的导函数， $f(-1) = 0$ ，当 $x > 0$ 时,T7导数,U7.2 导数运算（基本函数/复合/隐函数）,基本函数求导；复合函数求导；导数运算,导数与微分·求导运算·基本函数求导,0.799,函数综合·函数性质·奇偶性与周期性,0.312,求导；导数符号,,,3,,model_estimated,分类讨论,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_0da7232a75c2_q006,EXAM-0DA7232A75C2-Q006,"### 6. 若 $a > 0, b > 0$ ，且函数 $f(x) = 4x^{3} - ax^{2} - 2bx + 2$ 在 $x = 1$ 处有极值，则",T7导数,U7.4 导数与极值/最值,利用导数求最值；端点与极值比较；函数建模最值,导数应用·极值与最值·求最值,0.672,导数应用·极值与最值·求极值,0.111,最大/最小值,,,3,,model_estimated,运算求解,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
exam_0da7232a75c2_q007,EXAM-0DA7232A75C2-Q007,"### 7. 已知函数 $f(x) = ae^x - \ln x$ 在区间(1,2)上单调递增，则 $a$ 的最小值为 A. $e^2$ B. $e$ C. $",T7导数,U7.4 导数与极值/最值,利用导数求最值；端点与极值比较；函数建模最值,导数应用·极值与最值·求最值,0.692,导数应用·单调性·判断单调区间,0.222,最大/最小值,,T7导数·U7.3 导数与函数单调性·导数符号判断,3,,model_estimated,运算求解,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
exam_0da7232a75c2_q008,EXAM-0DA7232A75C2-Q008,"### 8. 已知 $a \in \mathbf{R}$ ，设函数 $f(x) = \begin{cases} x^2 - 2ax + 2a, & x,, 1,",T7导数,U7.5 导数与不等式证明,构造函数；导数证明不等式；极值点偏移,导数应用·不等式证明·构造函数证明,0.98,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,不等式证明；恒成立；不等式,,,3,,model_estimated,分类讨论,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_0da7232a75c2_q009,EXAM-0DA7232A75C2-Q009,### 9. 设函数 $f(x)$ 的定义域为 $\mathbf{R}$ ， $x_0(x_0 \neq 0)$ 是 $f(x)$ 的极大值点，以下结论一定正确,T7导数,U7.4 导数与极值/最值,极值点判断；导数符号表；函数极值,导数应用·极值与最值·求极值,0.832,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,极大/极小值,,,3,,model_estimated,运算求解,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
exam_0da7232a75c2_q010,EXAM-0DA7232A75C2-Q010,"### 10. 已知函数 $f(x) = 2^x$ ， $g(x) = x^2 + ax$ （其中 $a \in R$ ）。对于不相等的实数 $x_1, x_2",T7导数,U7.2 导数运算（基本函数/复合/隐函数）,基本函数求导；复合函数求导；导数运算,导数与微分·求导运算·基本函数求导,0.755,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,默认求导运算,,,3,,model_estimated,逻辑推理,综合提升,基本公式记忆不牢；代数化简错误,待审核,
