question_id,display_id,stem_markdown_preview,curriculum_theme_model,knowledge_unit_model,skill_tags_model,primary_knowledge_model,primary_confidence,runner_up_primary,classification_margin,tag_evidence,primary_knowledge_teacher,secondary_knowledge_model,difficulty_model,difficulty_teacher,difficulty_basis,ability_tags_model,teaching_tag_model,error_prone_points_model,review_status,review_notes
exam_4a8a8319c6b6_q001,EXAM-4A8A8319C6B6-Q001,"### 1. 一辆汽车在笔直的公路上行驶，位移关于时间的函数图象如图所示，给出下列四个结论： ①汽车在 $[0,t_{1}]$ 时间段内每一时刻的瞬时速度相同；",T7导数,U7.1 导数概念与几何意义（切线）,平均变化率；瞬时变化率；导数定义,导数与微分·导数定义·平均变化率与瞬时变化率,0.854,导数与微分·求导运算·基本函数求导,1.0,瞬时变化率,,,3,,model_estimated,数形结合,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_4a8a8319c6b6_q002,EXAM-4A8A8319C6B6-Q002,"### 2. 函数 $f(x) = x^{2} - x$ 在区间[1,3]上的平均变化率为（） A. 6 B. 3 C. 2 D. 1",T7导数,U7.1 导数概念与几何意义（切线）,平均变化率；瞬时变化率；导数定义,导数与微分·导数定义·平均变化率与瞬时变化率,0.865,导数与微分·求导运算·基本函数求导,1.0,平均变化率,,,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_4a8a8319c6b6_q003,EXAM-4A8A8319C6B6-Q003,### 3. 若函数 $f(x)$ 的导函数 $f'(x)$ 存在，且 $\lim_{\Delta x \to 0} \frac{f(1 - \Delta x),T7导数,U7.2 导数运算（基本函数/复合/隐函数）,基本函数求导；复合函数求导；导数运算,导数与微分·求导运算·基本函数求导,0.754,导数与微分·导数定义·平均变化率与瞬时变化率,0.062,求导；导数符号,,,3,,model_estimated,逻辑推理,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_4a8a8319c6b6_q004,EXAM-4A8A8319C6B6-Q004,### 4. 函数 $f(x)$ 的导函数 $f'(x)$ ，满足关系式 $f(x)=x^{2}+2xf'(2)-\ln x$ ，则 $f'(2)$ 的值为（）,T7导数,U7.2 导数运算（基本函数/复合/隐函数）,基本函数求导；复合函数求导；导数运算,导数与微分·求导运算·基本函数求导,0.923,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,求导；导数符号,,,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_4a8a8319c6b6_q005,EXAM-4A8A8319C6B6-Q005,### 5. 点 $P$ 在曲线 $y = x^3 - x + \frac{2}{3}$ 上，设曲线在点 $P$ 处切线的倾斜角为 $\alpha$ ，则角 $,T7导数,U7.1 导数概念与几何意义（切线）,导数几何意义；切线斜率；切线方程,导数与微分·切线方程·求切线,0.868,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,切线；斜率,,,3,,model_estimated,数形结合；分类讨论,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
exam_4a8a8319c6b6_q006,EXAM-4A8A8319C6B6-Q006,### 6. 若点 $P$ 是曲线 $y = \ln x - x^2$ 上任意一点，则点 $P$ 到直线 $l: x + y - 4 = 0$ 距离的最小值为（,T7导数,U7.4 导数与极值/最值,利用导数求最值；端点与极值比较；函数建模最值,导数应用·极值与最值·求最值,0.945,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,最大/最小值；建模最值,,,3,,model_estimated,运算求解,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
exam_4a8a8319c6b6_q007,EXAM-4A8A8319C6B6-Q007,### 7. 函数 $y = f(x)$ 的导数 $y = f'(x)$ 仍是 $x$ 的函数，通常把导函数 $y = f'(x)$ 的导数叫做函数的二阶导数，,T7导数,U7.2 导数运算（基本函数/复合/隐函数）,基本函数求导；复合函数求导；导数运算,导数与微分·求导运算·基本函数求导,0.963,函数综合·函数性质·奇偶性与周期性,0.905,求导；导数符号；导数,,,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_4a8a8319c6b6_q008,EXAM-4A8A8319C6B6-Q008,### 8. 已知直线 $y = kx + b$ 既是曲线 $y = \ln x$ 的切线，也是曲线 $y = -\ln (-x)$ 的切线，则（） A. $k,T7导数,U7.1 导数概念与几何意义（切线）,导数几何意义；切线斜率；切线方程,导数与微分·切线方程·求切线,0.821,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,切线,,,3,,model_estimated,数形结合,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
exam_4a8a8319c6b6_q009,EXAM-4A8A8319C6B6-Q009,### 9. 下列求导运算正确的是（） A. $(\ln7)' = \frac{1}{7}$ B. $[(x^{2}+2)\sin x]' = 2x\sin x,T7导数,U7.2 导数运算（基本函数/复合/隐函数）,基本函数求导；复合函数求导；导数运算,导数与微分·求导运算·基本函数求导,0.792,函数综合·函数性质·奇偶性与周期性,0.778,求导,,,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_4a8a8319c6b6_q010,EXAM-4A8A8319C6B6-Q010,"### 10. 已知定义在 $R$ 上的偶函数 $f(x)$ 满足 $f(0) = 2, f(3 - x) + f(x) = 1$ ，设 $f(x)$ 在 $R",T2函数,U2.1 函数概念与性质（单调/奇偶/周期）,函数奇偶性；函数周期性；函数对称性,函数综合·函数性质·奇偶性与周期性,0.707,导数与微分·求导运算·基本函数求导,0.182,函数奇偶性,,,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_4a8a8319c6b6_q011,EXAM-4A8A8319C6B6-Q011,"### 11. 已知定义在 $\mathbf{R}$ 上的函数 $f(x), g(x)$ 的导函数分别为 $f'(x), g'(x)$ ，且 $f(x) = f",T7导数,U7.2 导数运算（基本函数/复合/隐函数）,基本函数求导；复合函数求导；导数运算,导数与微分·求导运算·基本函数求导,0.844,函数综合·函数性质·奇偶性与周期性,0.562,求导；导数符号,,,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_4a8a8319c6b6_q012,EXAM-4A8A8319C6B6-Q012,### 12. 写出一个同时具有下列性质①②③的函数 $f(x)$ : \_\_\_\_. ① $f(x_{1}x_{2})=f(x_{1})f(x_{2})$,T2函数,U2.1 函数概念与性质（单调/奇偶/周期）,函数奇偶性；函数周期性；函数对称性,函数综合·函数性质·奇偶性与周期性,0.74,导数与微分·求导运算·基本函数求导,0.364,函数奇偶性,,T7导数·U7.2 导数运算（基本函数/复合/隐函数）·基本函数求导,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
