question_id,display_id,priority,confidence,primary_confidence,classification_margin,runner_up,primary_knowledge,secondary_knowledge,ability_tags,difficulty,difficulty_basis,flags,stem_preview
exam_4a8a8319c6b6_q003,EXAM-4A8A8319C6B6-Q003,high,0.76,0.754,0.062,导数与微分·导数定义·平均变化率与瞬时变化率,导数与微分·求导运算·基本函数求导,,逻辑推理,3,model_estimated,unreviewed；confidence_below_0.8；classification_margin_low；casework_ability_missing,### 3. 若函数 $f(x)$ 的导函数 $f'(x)$ 存在，且 $\lim_{\Delta x \to 0} \frac{f(1 - \Delta x) - f(1)}{2\Delta x} = 4$ ，则 $f'(1) = (\q
exam_4a8a8319c6b6_q009,EXAM-4A8A8319C6B6-Q009,medium,0.792,0.792,0.778,函数综合·函数性质·奇偶性与周期性,导数与微分·求导运算·基本函数求导,,运算求解,3,model_estimated,unreviewed；confidence_below_0.8,### 9. 下列求导运算正确的是（） A. $(\ln7)' = \frac{1}{7}$ B. $[(x^{2}+2)\sin x]' = 2x\sin x + (x^{2}+2)\cos x$ C. $\left(\frac{x^{2
exam_4a8a8319c6b6_q010,EXAM-4A8A8319C6B6-Q010,medium,0.721,0.707,0.182,导数与微分·求导运算·基本函数求导,函数综合·函数性质·奇偶性与周期性,,运算求解,3,model_estimated,unreviewed；confidence_below_0.8；primary_confidence_low,"### 10. 已知定义在 $R$ 上的偶函数 $f(x)$ 满足 $f(0) = 2, f(3 - x) + f(x) = 1$ ，设 $f(x)$ 在 $R$ 上的导函数为 $g(x)$ ，则（） A. $g(2025) = 0$ B."
exam_4a8a8319c6b6_q012,EXAM-4A8A8319C6B6-Q012,medium,0.748,0.74,0.364,导数与微分·求导运算·基本函数求导,函数综合·函数性质·奇偶性与周期性,T7导数·U7.2 导数运算（基本函数/复合/隐函数）·基本函数求导,运算求解,3,model_estimated,unreviewed；confidence_below_0.8,"### 12. 写出一个同时具有下列性质①②③的函数 $f(x)$ : \_\_\_\_. ① $f(x_{1}x_{2})=f(x_{1})f(x_{2})$ ; ②当 $x\in(0,+\infty)$ 时， $f'(x)>0$ ; ③"
exam_4a8a8319c6b6_q015,EXAM-4A8A8319C6B6-Q015,medium,0.735,0.716,0.6,函数综合·函数性质·奇偶性与周期性,导数与微分·求导运算·基本函数求导,,运算求解；逻辑推理,3,model_estimated,unreviewed；confidence_below_0.8；primary_confidence_low,### 15. 求下列函数的导数: (1) $y = \mathrm{e}^{-x}(x + 1)^{2};$ (2) $y = \cos(3x - 1) - \ln(-2x + 1);$ (3) $y = \sin 2x + \cos ^
exam_4a8a8319c6b6_q016,EXAM-4A8A8319C6B6-Q016,high,0.929,0.949,0.9,函数综合·函数性质·奇偶性与周期性,导数与微分·切线方程·求切线,,运算求解；逻辑推理；数形结合,3,model_estimated,unreviewed；casework_ability_missing,### 16. 已知函数 $F(x) = \mathrm{e}^{x - 1} + \frac{1}{3} x$ ， $G(x) = -x + m\sin x (m \neq 0)$ . (1)求函数 $F(x)$ 图象在x=1处的切线方程
exam_d0f98e715d39_q004,EXAM-D0F98E715D39-Q004,medium,0.734,0.723,0.273,导数应用·不等式证明·构造函数证明,函数综合·函数性质·奇偶性与周期性,T7导数·U7.2 导数运算（基本函数/复合/隐函数）·基本函数求导,运算求解,3,model_estimated,unreviewed；confidence_below_0.8,"### 4. 设 $f(x)$ 、 $g(x)$ 分别是定义在R上的奇函数和偶函数，当x<0时， $f'(x)g(x)+f(x)g'(x)>0$ 。且 $g(-3)=0$ ，则不等式 $f(x)g(x)<0$ 的解集是（） A. $(-3,"
exam_d0f98e715d39_q005,EXAM-D0F98E715D39-Q005,medium,0.708,0.692,0.222,导数应用·单调性·判断单调区间,导数应用·极值与最值·求最值,T7导数·U7.3 导数与函数单调性·导数符号判断,运算求解,3,model_estimated,unreviewed；confidence_below_0.8；primary_confidence_low,"### 5. 已知函数 $f(x) = ae^{x} - \ln x$ 在区间(1,2)上单调递增，则 $a$ 的最小值为（）. A. $e^{2}$ B. e C. $e^{-1}$ D. $e^{-2}$"
exam_d0f98e715d39_q006,EXAM-D0F98E715D39-Q006,medium,0.798,0.799,0.312,函数综合·函数性质·奇偶性与周期性,导数与微分·求导运算·基本函数求导,,分类讨论,3,model_estimated,unreviewed；confidence_below_0.8,### 6. 已知函数 $f(x)$ 是定义在 $R$ 上的偶函数， $f'(x)$ 是 $f(x)$ 的导函数， $f(x) + f'(x) = 2\mathrm{e}^x$ ，若 $k[f(x) - \mathrm{e}^x] \leq
exam_d0f98e715d39_q007,EXAM-D0F98E715D39-Q007,medium,0.761,0.755,1.0,导数与微分·导数定义·平均变化率与瞬时变化率,函数综合·函数性质·奇偶性与周期性,,运算求解,3,model_estimated,unreviewed；confidence_below_0.8,"### 7. 已知 $a = \sin 0.5, b = 3^{0.5}, c = \log_{0.3} 0.5$ ，则 $a, b, c$ 的大小关系是（） A. $a < b < c$ B. $a < c < b$ C. $c < a "
exam_d0f98e715d39_q008,EXAM-D0F98E715D39-Q008,medium,0.764,0.759,0.333,导数应用·不等式证明·构造函数证明,导数与微分·求导运算·基本函数求导,,运算求解,3,model_estimated,unreviewed；confidence_below_0.8,"### 8. 已知定义在 $R$ 上的函数 $f(x)$ 的导数为 $f'(x), f(1) = \mathrm{e}$ , 且对任意的 $x$ 满足 $f'(x) - f(x) < \mathrm{e}^x$ , 则不等式 $f(x) >"
exam_d0f98e715d39_q009,EXAM-D0F98E715D39-Q009,medium,0.826,0.832,1.0,导数与微分·导数定义·平均变化率与瞬时变化率,导数与微分·切线方程·求切线,,运算求解,3,model_estimated,unreviewed；tangent_primary_without_tangent_keyword,"### 9. 过点 $(-1, -1)$ 且与曲线 $y = 3x^{3} + 2$ 相切的直线方程可能为（） A. $8x - y + 7 = 0$ B. $9x - y + 8 = 0$ C. $9x - 4y + 5 = 0$ D. "
exam_d0f98e715d39_q014,EXAM-D0F98E715D39-Q014,medium,0.761,0.755,1.0,导数与微分·导数定义·平均变化率与瞬时变化率,导数与微分·求导运算·基本函数求导,,分类讨论,3,model_estimated,unreviewed；confidence_below_0.8,"### 14. 已知对任意 $x_{1}, x_{2} \in (0, +\infty)$ ，且当 $x_{1} < x_{2}$ 时，都有 $\frac{a(\ln x_{2} - \ln x_{1})}{x_{2} - x_{1}} <"
