question_id,display_id,stem_markdown_preview,curriculum_theme_model,knowledge_unit_model,skill_tags_model,primary_knowledge_model,primary_confidence,runner_up_primary,classification_margin,tag_evidence,primary_knowledge_teacher,secondary_knowledge_model,difficulty_model,difficulty_teacher,difficulty_basis,ability_tags_model,teaching_tag_model,error_prone_points_model,review_status,review_notes
exam_90d77aed2693_q001,EXAM-90D77AED2693-Q001,### 1. 下列导数运算正确的是（） A. $\left(\ln x + \cos x\right)' = \frac{1}{x} + \sin x$ B. ,T7导数,U7.2 导数运算（基本函数/复合/隐函数）,基本函数求导；复合函数求导；导数运算,导数与微分·求导运算·基本函数求导,0.849,函数综合·函数性质·奇偶性与周期性,0.833,导数符号；导数,,,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_90d77aed2693_q002,EXAM-90D77AED2693-Q002,### 2. 设 $a \in \mathbb{R}$ ，若函数 $f(x) = \frac{2}{3} x^3 - \frac{a}{2} x^2 + x +,T7导数,U7.4 导数与极值/最值,极值点判断；导数符号表；函数极值,导数应用·极值与最值·求极值,0.956,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,极值点；函数极值,,,3,,model_estimated,逻辑推理；分类讨论,综合提升,导数符号判断错误；忽略定义域或端点,待审核,
exam_90d77aed2693_q003,EXAM-90D77AED2693-Q003,### 3. 已知 $P(B) = 0.4$ ， $P(B|A) = 0.8$ ， $P(B|\overline{A}) = 0.3$ ，则 $P(A) = (,T9概率统计,U9.2 概率（古典/条件/全概率/贝叶斯）,条件概率；全概率公式；概率模型,概率统计·概率模型·全概率公式,0.788,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,P(·),,,3,,model_estimated,运算求解,综合提升,事件条件理解错误；概率公式套用混淆；期望计算漏项,待审核,
exam_90d77aed2693_q004,EXAM-90D77AED2693-Q004,### 4. 已知随机变量 $X$ 的分布列为 <table><tr><td>X</td><td>-1</td><td>0</td><td>1</td><td>,T9概率统计,U9.2 概率（古典/条件/全概率/贝叶斯）,条件概率；全概率公式；概率模型,概率统计·概率模型·全概率公式,0.969,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,分布列；随机变量；P(·),,,3,,model_estimated,分类讨论,综合提升,事件条件理解错误；概率公式套用混淆；期望计算漏项,待审核,
exam_90d77aed2693_q005,EXAM-90D77AED2693-Q005,"### 5. 设 $m \in (0,1)$ ，随机变量 X 的分布列为 <table><tr><td>X</td><td>0</td><td>m</td><t",T9概率统计,U9.3 离散型随机变量及其分布,分布列；数学期望；方差,概率统计·数字特征·期望与方差,0.823,概率统计·概率模型·全概率公式,0.263,D(·)；题目目标包含期望或方差,,T7导数·U7.3 导数与函数单调性·导数符号判断；T7导数·U7.4 导数与极值/最值·利用导数求最值,3,,model_estimated,运算求解；分类讨论,综合提升,事件条件理解错误；概率公式套用混淆；期望计算漏项,待审核,
exam_90d77aed2693_q006,EXAM-90D77AED2693-Q006,### 6. 当前，AI 已从一个研究领域变成一类赋能技术。在医药健康领域，AI 已应用于靶点发现、药物设计及临床试验等方面，显著提升了科研效率。假设某实验室 ,T9概率统计,U9.2 概率（古典/条件/全概率/贝叶斯）,条件概率；全概率公式；概率模型,概率统计·概率模型·全概率公式,0.788,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,P(·),,,3,,model_estimated,运算求解,综合提升,事件条件理解错误；概率公式套用混淆；期望计算漏项,待审核,
exam_90d77aed2693_q007,EXAM-90D77AED2693-Q007,### 7. 已知函数 $f(x) = \mathrm{e}^x - a\ln (ax - a) + a (a > 0)$ ，若对于任意的 $x > 1$ 使得,T7导数,U7.5 导数与不等式证明,构造函数；导数证明不等式；极值点偏移,导数应用·不等式证明·构造函数证明,0.788,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,不等式,,,3,,model_estimated,分类讨论,综合提升,基本公式记忆不牢；代数化简错误,待审核,
exam_90d77aed2693_q008,EXAM-90D77AED2693-Q008,"### 8. 已知函数 $f(x) = x + \frac{a}{2x}$ ，过点(1,0)作曲线 $f(x)$ 的两条切线，切点为 $A(x_1, f(x_1",T7导数,U7.1 导数概念与几何意义（切线）,导数几何意义；切线斜率；切线方程,导数与微分·切线方程·求切线,0.934,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,相切/切点；切线,,,3,,model_estimated,逻辑推理；数形结合；分类讨论,综合提升,切点坐标代入错误；导数值与斜率对应错误,待审核,
exam_90d77aed2693_q009,EXAM-90D77AED2693-Q009,### 9. 某班开设了“打球”“弹琴”“跳舞”“唱歌”4个课外活动项目。在一次活动中，甲、乙、丙3名学生每人至少选1个、至多选2个项目，且每个项目恰有1人选择,T9概率统计,U9.2 概率（古典/条件/全概率/贝叶斯）,条件概率；全概率公式；概率模型,概率统计·概率模型·全概率公式,0.788,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,P(·),,,3,,model_estimated,运算求解,综合提升,事件条件理解错误；概率公式套用混淆；期望计算漏项,待审核,
exam_90d77aed2693_q010,EXAM-90D77AED2693-Q010,### 10. 下列不等关系中，正确的是（） A. $\ln2<\frac{2}{e}$ B. $\frac{\ln3}{\ln\pi}<\frac{3}{\p,T7导数,U7.2 导数运算（基本函数/复合/隐函数）,基本函数求导；复合函数求导；导数运算,导数与微分·求导运算·基本函数求导,0.755,导数与微分·导数定义·平均变化率与瞬时变化率,1.0,默认求导运算,,,3,,model_estimated,运算求解,综合提升,基本公式记忆不牢；代数化简错误,待审核,
